sector,INST_NAME,n_total,oa_share,n_total_sec
Fraunhofer Society,Fraunhofer-Institut für Naturwissenschaftlich-Technische Trendanalysen,51,0.21568627450980393,14444
Fraunhofer Society,Fraunhofer-Institut für Offene Kommunikationssysteme,98,0.4387755102040816,14444
Fraunhofer Society,"Fraunhofer-Institut für Optronik, Systemtechnik und Bildauswertung IOSB",157,0.16560509554140126,14444
Fraunhofer Society,Fraunhofer-Institut für Photonische Mikrosysteme,112,0.14285714285714285,14444
Fraunhofer Society,Fraunhofer-Institut für Physikalische Messtechnik,233,0.2703862660944206,14444
Fraunhofer Society,Fraunhofer-Institut für Produktionsanlagen und Konstruktionstechnik,79,0.0759493670886076,14444
Fraunhofer Society,Fraunhofer-Institut für Produktionstechnik und Automatisierung,111,0.32432432432432434,14444
Fraunhofer Society,Fraunhofer-Institut für Produktionstechnologie,123,0.17886178861788618,14444
Fraunhofer Society,Fraunhofer-Institut für Rechnerarchitektur und Softwaretechnik,54,0.4444444444444444,14444
Fraunhofer Society,Fraunhofer-Institut für Schicht- und Oberflächentechnik (IST),161,0.19875776397515527,14444
Fraunhofer Society,Fraunhofer-Institut für Sichere Informationstechnologie,16,0.375,14444
Fraunhofer Society,Fraunhofer-Institut für Silicatforschung (ISC),228,0.2236842105263158,14444
Fraunhofer Society,Fraunhofer-Institut für Siliziumtechnologie (ISIT),46,0.10869565217391304,14444
Fraunhofer Society,Fraunhofer-Institut für Software- und Systemtechnik ISST,17,0.35294117647058826,14444
Fraunhofer Society,Fraunhofer-Institut für Solare Energiesysteme (ISE),1123,0.1611754229741763,14444
Fraunhofer Society,Fraunhofer-Institut für System- und Innovationsforschung,330,0.3303030303030303,14444
Fraunhofer Society,Fraunhofer-Institut für Techno- und Wirtschaftsmathematik,427,0.3629976580796253,14444
Fraunhofer Society,Fraunhofer-Institut für Toxikologie und Experimentelle Medizin,355,0.5154929577464789,14444
Fraunhofer Society,"Fraunhofer-Institut für Umwelt-, Sicherheits- und Energietechnik",172,0.19186046511627908,14444
Fraunhofer Society,Fraunhofer-Institut für Verfahrenstechnik und Verpackung,387,0.22997416020671835,14444
Fraunhofer Society,Fraunhofer-Institut für Verkehrs- und Infrastruktursysteme,11,0.18181818181818182,14444
Fraunhofer Society,Fraunhofer-Institut für Werkstoff- und Strahltechnik,359,0.22562674094707522,14444
Fraunhofer Society,Fraunhofer-Institut für Werkstoffmechanik,687,0.2183406113537118,14444
Fraunhofer Society,Fraunhofer-Institut für Werkzeugmaschinen und Umformtechnik,154,0.15584415584415584,14444
Fraunhofer Society,Fraunhofer-Institut für Windenergie und Energiesystemtechnik IWES,109,0.3302752293577982,14444
Fraunhofer Society,Fraunhofer-Institut für Zelltherapie und Immunologie,545,0.6495412844036698,14444
Fraunhofer Society,Fraunhofer-Institut für Zerstörungsfreie Prüfverfahren,178,0.1797752808988764,14444
Fraunhofer Society,Fraunhofer-Institut für Zuverlässigkeit und Mikrointegration,153,0.21568627450980393,14444
Fraunhofer Society,Fraunhofer-Instituts für Elektronische Nanosysteme ENAS,204,0.2549019607843137,14444
